ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,DEU,Germany,Titz,19.8450931,2016,"1 N.A., 1 Rural-Industrial",Measured,13.88206621,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.033834,6.451483,8289,High income,Eur_HI,2018,2 manual,0.992884791,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Trier,18.04692517,2016,"1 Suburban-Industrial, 1 Urban-Traffic",Measured,12.68028974,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.769067,6.668625,100226,High income,Eur_HI,2018,2 old database,0.95548725,0.988957195,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Trostberg,14.80423045,2016,1 Suburban-Background,Measured,11.14258031,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.021657,12.538174,11201,High income,Eur_HI,2018,1 old database,0.977117486,0.99931694,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Tubingen,19.87622854,2016,"1 Rural-Near_city-Traffic, 3 Suburban-Background, 1 Urban-Traffic",Measured,11.05821056,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.5139458,9.0381988,82511,High income,Eur_HI,2018,5 manual,0.991575592,0.991803279,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Ulm,17.78658789,2016,2 Urban-Background,Measured,11.51970418,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.396836,9.979031,116439,High income,Eur_HI,2018,2 old database,0.997210838,0.99726776,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Unna,17.4452738,2016,1 Suburban-Background,Converted,12.20334139,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.547495,7.693835,59149,High income,Eur_HI,2018,1 old database,NA,0.983037341,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Villingen-Schwenningen,13.74616197,2016,2 Suburban-Background,Measured,9.615733708,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.048656,8.463597,82082,High income,Eur_HI,2018,2 old database,0.973872951,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,DEU,Germany,Volklingen,14.26070394,2016,1 Urban-Background,Measured,9.975666799,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.254344,6.867744,38809,High income,Eur_HI,2018,1 manual,0.999430783,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,DEU,Germany,Walsrode,16.28810198,2016,1 Suburban-Background,Measured,11.393875,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],52.82943,9.62295,23405,High income,Eur_HI,2018,1 manual,0.998178506,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Warstein,21.18712088,2016,1 Urban-Industrial,Measured,11.42209998,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.443012,8.360714,25966,High income,Eur_HI,2018,1 manual,0.985997268,0.983720401,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,DEU,Germany,Weiden In Der Oberpfalz,16.72220361,2016,1 Urban-Background,Converted,11.69753836,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.67895,12.159361,54800,High income,Eur_HI,2018,1 manual,NA,0.993852459,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Weil Am Rhein,15.45630012,2016,2 Suburban-Background,Measured,10.88402638,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],47.588152,7.633271,28829,High income,Eur_HI,2018,2 old database,0.996470857,0.99726776,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Weimar,16.68540155,2016,"1 Urban-Background, 1 Urban-Traffic",Measured,13.07245923,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.980003,11.323235,62764,High income,Eur_HI,2018,2 manual,0.974612933,0.986680328,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Weissenfels,18.21864864,2016,1 Urban-Traffic,Converted,12.7443336,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.197249,11.96096,40194,High income,Eur_HI,2018,1 manual,NA,0.987818761,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Wermsdorf,13.55384517,2016,3 Rural-Remote-Background,Measured,9.73736985,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.303772,13.009406,5496,High income,Eur_HI,2018,3 manual,0.984005009,0.99726776,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,<10,green,<20,green
NA,DEU,Germany,Wernigerode,15.81645285,2016,1 Urban-Background,Measured,11.06394637,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.839382,10.790143,33964,High income,Eur_HI,2018,1 manual,0.994877049,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Wesel,17.3805635,2016,1 Suburban-Background,Measured,13.99437189,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.672809,6.629576,60336,High income,Eur_HI,2018,1 old database,0.992144809,0.991803279,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Wetzlar,21.14237035,2016,"1 Suburban-Industrial, 1 Urban-Background",Measured,14.78953934,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.5712745,8.4963185,50895,High income,Eur_HI,2018,2 old database,0.993112477,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
