Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,223.687,267.691,238.355,234.688,267.691,245.689,308.028,322.696,451.041,502.379,572.052,685.729,663.727,1221.111,1624.481,1100.1,1235.779,480.377,322.696,348.365,407.037,473.043,1345.789,1144.104,1140.437,1279.783,1067.097,1323.787,1499.803,1507.137,840,3080,3010,2990,2780,2930,2800,3340,3230,2950,2860,2990,2800,2940,2860,4820,4950,5130,5410,5440,4980,4860,4750,4000,4080,3440,3350,3220,3220,,
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,11.001,11.001,11.001,11.001,11.001,14.668,18.335,18.335,18.335,18.335,29.336,29.336,29.336,29.336,29.336,33.003,40.337,40.337,29.336,22.002,47.671,47.671,47.671,47.671,47.671,47.671,44.004,47.671,51.338,51.338,70,70,70,70,70,80,80,80,90,90,100,110,110,140,150,140,150,120,120,130,160,150,150,180,160,180,200,250,260,,
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,22.002,18.335,14.668,29.336,25.669,22.002,18.335,29.336,36.67,36.67,36.67,51.338,62.339,66.006,77.007,73.34,80.674,209.019,249.356,121.011,33.003,36.67,36.67,84.341,84.341,58.672,80.674,73.34,80.674,100,100,110,110,110,120,140,150,160,190,220,250,280,310,340,440,500,460,480,510,540,570,530,510,500,500,550,590,620,,
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,40.337,44.004,47.671,66.006,84.341,121.011,139.346,88.008,121.011,84.341,139.346,161.348,190.684,179.683,194.351,198.018,198.018,198.018,201.685,363.033,348.365,300.694,348.365,348.365,352.032,359.366,377.701,388.702,348.365,388.702,330,340,340,340,330,330,340,350,350,350,370,380,400,410,400,430,430,470,470,460,520,480,510,560,460,540,490,470,490,,
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,6160.56,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,67890,66940,66160,73470,71550,73050,71410,72830,74540,77540,78590,74770,80410,83840,84890,88990,93750,100520,103990,112770,113140,118140,126640,129910,138810,145970,143350,145100,151670,,
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,16054.126,17088.22,18595.357,21554.626,25522.32,27641.846,26563.748,19677.122,22904.082,19695.457,21686.638,23047.095,25511.319,23795.163,26123.708,31099.827,34495.469,37865.442,39313.907,42947.904,45239.779,50978.634,56523.138,57091.523,63838.803,63937.812,74564.778,74810.467,74531.775,72181.228,86820,89390,92300,91830,86430,91870,96770,103960,109270,114670,112860,125010,127740,131240,142690,160590,169130,182230,189120,195490,196500,201610,212410,210430,216650,225950,233960,238690,246260,,
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,440,630,730,800,870,830,610,650,640,700,680,690,680,600,520,510,450,470,500,580,630,650,680,650,660,720,800,,
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,352.032,341.031,396.036,421.705,407.037,645.392,825.075,1074.431,1727.157,1668.485,1653.817,1851.835,1408.128,1752.826,1738.158,1210.11,1177.107,1048.762,1371.458,1848.168,1822.499,1866.503,1481.468,1844.501,1664.818,1815.165,2214.868,2581.568,2673.243,2827.257,2310,2330,1520,1940,2260,2570,2870,3060,3230,3180,3560,4400,4570,5020,5330,5050,5400,6070,6880,6930,6470,7540,8460,10280,12330,12880,14950,15460,16280,,
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,132.012,165.015,88.008,73.34,190.684,216.353,381.368,1012.092,1961.845,1433.797,2082.856,2845.592,2739.249,5313.483,5452.829,5368.488,5709.519,6314.574,7561.354,6754.614,6633.603,6574.931,6556.596,5518.835,5995.545,6318.241,4968.785,4022.699,4334.394,5771.858,4130,4350,4610,4700,4440,4610,4720,4830,4930,4820,4670,4580,4330,4390,4430,4630,4040,4050,4130,4200,4770,5640,5830,5700,5500,5480,5710,4700,4610,,
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,1463.133,1345.789,1433.797,1723.49,1650.15,1705.155,1441.131,1496.136,1763.827,1690.487,2625.572,2295.542,2423.887,2475.225,2937.267,2746.583,2434.888,3003.273,2970.27,2658.575,2559.566,3047.277,3043.61,3655.999,2581.568,3325.969,3047.277,3285.632,3450.647,3344.304,2790,2560,3080,3190,3460,3710,4090,4290,6100,6580,5740,6210,7420,7130,6620,7020,8430,9050,8560,9950,11150,12210,14220,15010,14370,15130,14110,14780,16110,,
